day_label,date,activity,type,time_1,timezone_1_label
May 19,2026-05-19,Welcome and Goals of Day 1,activity,09:00,"Time (ET)"
May 19,2026-05-19,Case Presentation and Audience Definition,activity,09:15,"Time (ET)"
May 19,2026-05-19,Break,break,09:45,"Time (ET)"
May 19,2026-05-19,Clinical Research Panel,activity,10:00,"Time (ET)"
May 19,2026-05-19,Patient Panel,activity,11:00,"Time (ET)"
May 19,2026-05-19,Lunch Break,break,12:00,"Time (ET)"
May 19,2026-05-19,Learner Ecosystem Refinement,activity,13:00,"Time (ET)"
May 19,2026-05-19,Break,break,14:00,"Time (ET)"
May 19,2026-05-19,Learner Ecosystem Refinement (continued),activity,14:15,"Time (ET)"
May 19,2026-05-19,End of Day 1,break,15:00,"Time (ET)"
May 22,2026-05-22,Breakfast,break,08:00,"Time (ET)"
May 22,2026-05-22,Welcome and Goals of Day 2,activity,09:00,"Time (ET)"
May 22,2026-05-22,Content Prioritization,activity,09:15,"Time (ET)"
May 22,2026-05-22,Break,break,10:15,"Time (ET)"
May 22,2026-05-22,Curriculum Roadmap,activity,10:30,"Time (ET)"
May 22,2026-05-22,Lunch Break,break,12:00,"Time (ET)"
May 22,2026-05-22,Teaching Methods and Learning Modalities,activity,13:00,"Time (ET)"
May 22,2026-05-22,Break,break,14:30,"Time (ET)"
May 22,2026-05-22,Implementation Planning,activity,14:45,"Time (ET)"
May 22,2026-05-22,Closing Remarks and Next Steps,activity,16:45,"Time (ET)"
May 22,2026-05-22,End of Day 2,break,17:00,"Time (ET)"
